"Year_of_Death","County_of_Residence","Age","Sex","Total_Deaths_sex","Description"
2020,"Alameda","65 - 69 years","Male",554,"urban"
2018,"Alameda","1 - 4 years","Male",6,"urban"
2019,"Alameda","60 - 64 years","Female",282,"urban"
2020,"Alameda","95 - 99 years","Male",223,"urban"
2018,"Alameda","100 years and over","Female",127,"urban"
2020,"Alameda","Less than 1 year","Male",35,"urban"
2018,"Alameda","60 - 64 years","Male",476,"urban"
2019,"Alameda","55 - 59 years","Female",199,"urban"
2020,"Alameda","70 - 74 years","Female",448,"urban"
2021,"Alameda","10 - 14 years","Female",6,"urban"
2018,"Alameda","90 - 94 years","Female",812,"urban"
2020,"Alameda","75 - 79 years","Male",621,"urban"
2018,"Alameda","1 - 4 years","Female",6,"urban"
2020,"Alameda","15 - 19 years","Female",15,"urban"
2019,"Alameda","50 - 54 years","Male",205,"urban"
2018,"Alameda","20 - 24 years","Female",14,"urban"
2021,"Alameda","85 - 89 years","Male",243,"urban"
2020,"Alameda","30 - 34 years","Female",40,"urban"
2020,"Alameda","45 - 49 years","Female",96,"urban"
2021,"Alameda","20 - 24 years","Male",19,"urban"
2021,"Alameda","50 - 54 years","Female",43,"urban"
2021,"Alameda","95 - 99 years","Female",194,"urban"
2020,"Alameda","Less than 1 year","Female",27,"urban"
2018,"Alameda","Less than 1 year","Female",27,"urban"
2021,"Alameda","40 - 44 years","Female",21,"urban"
2021,"Alameda","75 - 79 years","Male",250,"urban"
2019,"Alameda","5 - 9 years","Female",6,"urban"
2019,"Alameda","85 - 89 years","Female",735,"urban"
2020,"Alameda","65 - 69 years","Female",363,"urban"
2019,"Alameda","70 - 74 years","Male",569,"urban"
2019,"Alameda","65 - 69 years","Male",509,"urban"
2020,"Alameda","70 - 74 years","Male",665,"urban"
2018,"Alameda","30 - 34 years","Male",67,"urban"
2019,"Alameda","Less than 1 year","Male",32,"urban"
2021,"Alameda","10 - 14 years","Male",0,"urban"
2021,"Alameda","90 - 94 years","Male",203,"urban"
2019,"Alameda","25 - 29 years","Male",82,"urban"
2018,"Alameda","40 - 44 years","Male",108,"urban"
2018,"Alameda","70 - 74 years","Male",512,"urban"
2021,"Alameda","80 - 84 years","Female",257,"urban"
2019,"Alameda","65 - 69 years","Female",352,"urban"
2018,"Alameda","80 - 84 years","Female",623,"urban"
2019,"Alameda","80 - 84 years","Male",594,"urban"
2020,"Alameda","20 - 24 years","Female",14,"urban"
2020,"Alameda","100 years and over","Male",56,"urban"
2019,"Alameda","35 - 39 years","Male",87,"urban"
2019,"Alameda","25 - 29 years","Female",14,"urban"
2021,"Alameda","70 - 74 years","Female",185,"urban"
2019,"Alameda","95 - 99 years","Male",218,"urban"
2020,"Alameda","80 - 84 years","Female",633,"urban"
2020,"Alameda","25 - 29 years","Female",18,"urban"
2020,"Alameda","55 - 59 years","Female",205,"urban"
2018,"Alameda","85 - 89 years","Female",717,"urban"
2021,"Alameda","35 - 39 years","Male",42,"urban"
2018,"Alameda","95 - 99 years","Female",430,"urban"
2021,"Alameda","90 - 94 years","Female",315,"urban"
2019,"Alameda","10 - 14 years","Female",6,"urban"
2018,"Alameda","65 - 69 years","Male",504,"urban"
2018,"Alameda","70 - 74 years","Female",414,"urban"
2021,"Alameda","35 - 39 years","Female",18,"urban"
2019,"Alameda","75 - 79 years","Female",459,"urban"
2020,"Alameda","1 - 4 years","Female",6,"urban"
2019,"Alameda","60 - 64 years","Male",420,"urban"
2021,"Alameda","75 - 79 years","Female",226,"urban"
2021,"Alameda","85 - 89 years","Female",268,"urban"
2020,"Alameda","30 - 34 years","Male",109,"urban"
2018,"Alameda","50 - 54 years","Female",133,"urban"
2021,"Alameda","30 - 34 years","Female",12,"urban"
2021,"Alameda","100 years and over","Female",46,"urban"
2019,"Alameda","80 - 84 years","Female",640,"urban"
2020,"Alameda","10 - 14 years","Male",6,"urban"
2019,"Alameda","1 - 4 years","Female",6,"urban"
2021,"Alameda","45 - 49 years","Female",27,"urban"
2021,"Alameda","100 years and over","Male",19,"urban"
2021,"Alameda","95 - 99 years","Male",72,"urban"
2021,"Alameda","55 - 59 years","Male",138,"urban"
2018,"Alameda","85 - 89 years","Male",582,"urban"
2021,"Alameda","70 - 74 years","Male",259,"urban"
2020,"Alameda","100 years and over","Female",156,"urban"
2021,"Alameda","25 - 29 years","Male",33,"urban"
2018,"Alameda","10 - 14 years","Female",6,"urban"
2019,"Alameda","15 - 19 years","Female",11,"urban"
2019,"Alameda","90 - 94 years","Male",503,"urban"
2021,"Alameda","15 - 19 years","Female",6,"urban"
2020,"Alameda","75 - 79 years","Female",543,"urban"
2018,"Alameda","95 - 99 years","Male",179,"urban"
2019,"Alameda","95 - 99 years","Female",516,"urban"
2018,"Alameda","45 - 49 years","Male",148,"urban"
2018,"Alameda","15 - 19 years","Female",6,"urban"
2018,"Alameda","90 - 94 years","Male",507,"urban"
2020,"Alameda","55 - 59 years","Male",345,"urban"
2021,"Alameda","55 - 59 years","Female",89,"urban"
2019,"Alameda","20 - 24 years","Female",21,"urban"
2019,"Alameda","70 - 74 years","Female",454,"urban"
2020,"Alameda","35 - 39 years","Male",111,"urban"
2019,"Alameda","55 - 59 years","Male",332,"urban"
2018,"Alameda","25 - 29 years","Male",54,"urban"
2021,"Alameda","60 - 64 years","Female",103,"urban"
2018,"Alameda","30 - 34 years","Female",26,"urban"
2019,"Alameda","75 - 79 years","Male",563,"urban"
2020,"Alameda","60 - 64 years","Male",472,"urban"
2020,"Alameda","25 - 29 years","Male",101,"urban"
2021,"Alameda","65 - 69 years","Female",130,"urban"
2019,"Alameda","35 - 39 years","Female",38,"urban"
2018,"Alameda","60 - 64 years","Female",257,"urban"
2020,"Alameda","90 - 94 years","Male",551,"urban"
2019,"Alameda","40 - 44 years","Female",45,"urban"
2019,"Alameda","20 - 24 years","Male",58,"urban"
2019,"Alameda","Less than 1 year","Female",27,"urban"
2020,"Alameda","40 - 44 years","Male",142,"urban"
2021,"Alameda","20 - 24 years","Female",6,"urban"
2019,"Alameda","100 years and over","Female",135,"urban"
2019,"Alameda","30 - 34 years","Female",32,"urban"
2019,"Alameda","30 - 34 years","Male",83,"urban"
2019,"Alameda","5 - 9 years","Male",6,"urban"
2018,"Alameda","65 - 69 years","Female",320,"urban"
2020,"Alameda","90 - 94 years","Female",831,"urban"
2020,"Alameda","40 - 44 years","Female",61,"urban"
2019,"Alameda","40 - 44 years","Male",87,"urban"
2021,"Alameda","40 - 44 years","Male",42,"urban"
2019,"Alameda","50 - 54 years","Female",119,"urban"
2018,"Alameda","20 - 24 years","Male",49,"urban"
2020,"Alameda","1 - 4 years","Male",6,"urban"
2020,"Alameda","85 - 89 years","Male",660,"urban"
2021,"Alameda","30 - 34 years","Male",34,"urban"
2020,"Alameda","45 - 49 years","Male",165,"urban"
2020,"Alameda","5 - 9 years","Female",6,"urban"
2021,"Alameda","Less than 1 year","Male",16,"urban"
2018,"Alameda","50 - 54 years","Male",199,"urban"
2020,"Alameda","50 - 54 years","Male",238,"urban"
2019,"Alameda","45 - 49 years","Male",114,"urban"
2018,"Alameda","75 - 79 years","Male",596,"urban"
2020,"Alameda","50 - 54 years","Female",148,"urban"
2018,"Alameda","45 - 49 years","Female",87,"urban"
2019,"Alameda","10 - 14 years","Male",6,"urban"
2021,"Alameda","1 - 4 years","Male",6,"urban"
2018,"Alameda","55 - 59 years","Male",319,"urban"
2021,"Alameda","5 - 9 years","Male",6,"urban"
2020,"Alameda","20 - 24 years","Male",72,"urban"
2018,"Alameda","10 - 14 years","Male",6,"urban"
2018,"Alameda","35 - 39 years","Male",70,"urban"
2020,"Alameda","15 - 19 years","Male",34,"urban"
2020,"Alameda","60 - 64 years","Female",321,"urban"
2020,"Alameda","80 - 84 years","Male",651,"urban"
2021,"Alameda","25 - 29 years","Female",12,"urban"
2021,"Alameda","15 - 19 years","Male",6,"urban"
2020,"Alpine","60 - 64 years","Female",0,"rural"
2021,"Alpine","60 - 64 years","Male",6,"rural"
2018,"Alpine","80 - 84 years","Female",6,"rural"
2019,"Alpine","40 - 44 years","Male",6,"rural"
2021,"Alpine","50 - 54 years","Female",6,"rural"
2021,"Alpine","15 - 19 years","Female",0,"rural"
2019,"Alpine","100 years and over","Male",0,"rural"
2019,"Alpine","15 - 19 years","Female",0,"rural"
2019,"Alpine","70 - 74 years","Male",6,"rural"
2018,"Alpine","65 - 69 years","Female",0,"rural"
2021,"Alpine","70 - 74 years","Male",0,"rural"
2018,"Alpine","1 - 4 years","Female",0,"rural"
2018,"Alpine","80 - 84 years","Male",6,"rural"
2021,"Alpine","20 - 24 years","Male",0,"rural"
2020,"Alpine","90 - 94 years","Male",0,"rural"
2019,"Alpine","1 - 4 years","Male",0,"rural"
2019,"Alpine","75 - 79 years","Female",0,"rural"
2019,"Alpine","50 - 54 years","Female",0,"rural"
2019,"Alpine","95 - 99 years","Male",0,"rural"
